Name,IrsSubsection,Location,Ein,Mission
Childrens Hospital of Alabama,501(c)(3) Public Charity,"Birmingham, AL",63-0307306,the mission of the children's hospital of alabama (the hospital) is to provide the finest pediatric health services to all children in an environment that fosters excellence in research and medical education. the hospital will be an advocate for all children and work to educate the public about issues affecting children's health and well-being.
University of Alabama Health Services Foundation PC,501(c)(3) Public Charity,"Birmingham, AL",63-0649108,coordinate and deliver patient care in a group practice setting within the academic environment of the university of alabama at birmingham.
Southeastern Conference,501(c)(3) Public Charity,"Birmingham, AL",63-0377461,to promote and administer intercollegiate athletic competition among its fourteen member non-profit institutions of higher education located in the southeastern united states and assist member institutions in the maintenance of programs of intercollegiate athletics which are compatible with the highest standards of education and competitive sports.
Powersouth Energy Cooperative,"501(c)(12) Local Benevolent Life Insurance Associations, Mutual Irrigation and Telephone Companies, and Like Co","Andalusia, AL",63-0238274,powersouth energy cooperative is an alabama cooperative corporation producing and transmitting wholesale electric power to and for its cooperative and municipal members under the provisions of the rural electrification act of 1936.
Navigate Affordable Housing Partners Inc,501(c)(3) Public Charity,"Birmingham, AL",63-0985617,"to develop and enhance safe, decent, sanitary, and affordable housing by providing courteous, professional and accurate services."
Mobile Infirmary Association,501(c)(3) Public Charity,"Mobile, AL",63-0288856,"our mission is ""life,"" leadership-integrity-family-excellent service. to provide quality patient care through a dynamic healthcare system."
St Vincents Birmingham,501(c)(3) Public Charity,"Birmingham, AL",63-0288864,"rooted in the loving ministry of jesus as healer, we commit ourselves to serving all persons with special attention to those who are poor and vulnerable. our catholic health ministry is dedicated to spiritually centered, holistic care which sustains and improves the health of individuals and communities. we are advocates for a compassionate and just society through our actions and our words."
The Health Care Authority of the City of Anniston,501(c)(3) Public Charity,"Anniston, AL",63-6000090,"the board's mission is providing state of the art health care with integrity, to the people we serve."
Jackson Hospital & Clinic Inc,501(c)(3) Public Charity,"Montgomery, AL",63-6001820,"to provide superior healthcare in a safe, compassionate environment while fulfilling our charitable obligation as a not-for-profit organization."
Gulf Health Hospitals Inc,501(c)(3) Public Charity,"Mobile, AL",63-0891904,to advance the promotion of health & to participate in any activity designed to promote health or healing in the gulf coast region.
Samford University,501(c)(3) Public Charity,"Birmingham, AL",63-0312914,"the mission of samford university is to nurture persons in their development of intellect, creativity, faith, and personhood. as a christian university, the community fosters academic, career, and ethical competency while encouraging social and civic responsibility, and service to others."
Providence Hospital,501(c)(3) Public Charity,"Mobile, AL",63-0288861,"rooted in the loving ministry of jesus as healer, we commit ourselves to serving all persons with special attention to those who are poor and vulnerable. our catholic health ministry is dedicated to spiritually-centered, holistic care which sustains and improves the health of individuals and communities. we are advocates for a compassionate and just society through our actions and our words."
St Vincents East,501(c)(3) Public Charity,"Birmingham, AL",63-0578923,"rooted in the loving ministry of jesus as healer, we commit ourselves to serving all persons with special attention to those who are poor and vulnerable. our catholic health ministry is dedicated to spiritually centered, holistic care which sustains and improves the health of individuals and communities. we are advocates for a compassionate and just society through our actions and our words."
Electric Membership Corp Baldwin County Electric Membership Corp,"501(c)(12) Local Benevolent Life Insurance Associations, Mutual Irrigation and Telephone Companies, and Like Co","Summerdale, AL",63-0014658,rural electric cooperative serving baldwin and monroe counties in alabama.
Collegiate Housing Foundation,501(c)(3) Public Charity,"Fairhope, AL",63-1173425,"(a)the organization is organized exclusively for charitable, religious, and educational purposes within the meaning of section 501(c)(3) of the u.s. internal revenue code of 1986 (the code) including for such purposes:(1)assisting each of its members to provide housing for its enrolled students; and(2)otherwise assisting each of its members to further their educational missions."
Joe Wheeler Electric Membership Corporation,"501(c)(12) Local Benevolent Life Insurance Associations, Mutual Irrigation and Telephone Companies, and Like Co","Trinity, AL",63-0224987,"joe wheeler emc is committed to providing efficient, reliable utility services that enhance the lives and businesses and exceed the expectations of members and customers in lawrence and morgan counties and surrounding communities."
