Organization,Mission,Families,Educators,Workspace
Childrens Hospital of Alabama,0.1171437731393461,0.13616083206001361,0.12014462500920642,0.10301229613491913
University of Alabama Health Services Foundation PC,0.1083202495729485,0.14138730911815256,0.10920590592883894,0.10519759828998487
Southeastern Conference,0.14789413321380795,0.19265379443806818,0.15534963322863748,0.14201037078844148
Powersouth Energy Cooperative,0.22396511181444345,0.2720158182480792,0.25023692348704707,0.21350651702722068
Navigate Affordable Housing Partners Inc,0.15440242791983338,0.2101147691852039,0.1856277131606734,0.15296247172141275
Mobile Infirmary Association,0.08627473003704256,0.13161560137541983,0.11567681807211339,0.09460946400671588
St Vincents Birmingham,0.06102753970398178,0.08793886220294655,0.08738651037558709,0.08601310224544423
The Health Care Authority of the City of Anniston,0.07977613363947034,0.11546485953123786,0.10551765276585434,0.08572784289572866
Jackson Hospital & Clinic Inc,0.13423055164447995,0.18796094166033583,0.1700915396621573,0.14191215229123155
Gulf Health Hospitals Inc,0.10679243598819577,0.1412093304057288,0.1266063234601119,0.10085699272117077
Samford University,0.1250094244460349,0.1597858408708721,0.12810198628965175,0.13151689361078733
Providence Hospital,0.056975631213584954,0.08416531151274242,0.08434341790509425,0.08010642770750398
St Vincents East,0.06102753970398178,0.08793886220294655,0.08738651037558709,0.08601310224544423
Electric Membership Corp Baldwin County Electric Membership Corp,0.3431902191423756,0.3661225429514259,0.34372986152175833,0.32560430106267757
Collegiate Housing Foundation,0.08521222903275683,0.12721797694855363,0.10174308954047928,0.09235225965149985
Joe Wheeler Electric Membership Corporation,0.10690086906972518,0.16021332855426362,0.14173088421273028,0.1137284691198911
Noland Health Services Inc,0.11012609728797662,0.1476313244688976,0.13031583380925704,0.0967323517515043
Tuskegee University,0.10262265176211194,0.1513531926213164,0.11320853635936079,0.10599145539881327
St Vincents Health System,0.11080257177859265,0.15742254053390092,0.1381892766044096,0.11238051019565287
Cullman Electric Cooperative,0.13616190018618224,0.1936746882203908,0.16914948356215498,0.14092755991110606
Cullman Regional Medical Center Inc,0.15788044883094887,0.18901053446103222,0.17812368959338665,0.15059701599286757
"Southern Poverty Law Center, Inc.",0.077338060067485,0.10674401957258317,0.09986709467269517,0.07809586493635612
"United Way of Central Alabama, Inc.",0.030190257794620923,0.049020451421655675,0.054025866859453986,0.0447942976145258
Central Alabama Electric Cooperative,0.19167494226737958,0.25357265393989015,0.21921321207811895,0.19005381530148668
