Organization,Mission,Families,Educators,Workspace,Rank
Childrens Hospital of Alabama,0.117143773,0.136160832,0.120144625,0.103012296,0.118458179
University of Alabama Health Services Foundation PC,0.10832025,0.141387309,0.109205906,0.105197598,0.113458594
Southeastern Conference,0.147894133,0.192653794,0.155349633,0.142010371,0.155616033
Powersouth Energy Cooperative,0.223965112,0.272015818,0.250236923,0.213506517,0.234609099
Navigate Affordable Housing Partners Inc,0.154402428,0.210114769,0.185627713,0.152962472,0.16865204
Mobile Infirmary Association,0.08627473,0.131615601,0.115676818,0.094609464,0.100121012
St Vincents Birmingham,0.06102754,0.087938862,0.08738651,0.086013102,0.074070182
The Health Care Authority of the City of Anniston,0.079776134,0.11546486,0.105517653,0.085727843,0.091006459
Jackson Hospital & Clinic Inc,0.134230552,0.187960942,0.17009154,0.141912152,0.150442715
Gulf Health Hospitals Inc,0.106792436,0.14120933,0.126606323,0.100856993,0.114841659
Samford University,0.125009424,0.159785841,0.128101986,0.131516894,0.132405499
Providence Hospital,0.056975631,0.084165312,0.084343418,0.080106428,0.069923675
St Vincents East,0.06102754,0.087938862,0.08738651,0.086013102,0.074070182
Electric Membership Corp Baldwin County Electric Membership Corp,0.343190219,0.366122543,0.343729862,0.325604301,0.344171227
Collegiate Housing Foundation,0.085212229,0.127217977,0.10174309,0.09235226,0.096158336
Joe Wheeler Electric Membership Corporation,0.106900869,0.160213329,0.141730884,0.113728469,0.122729215
Noland Health Services Inc,0.110126097,0.147631324,0.130315834,0.096732352,0.117509634
Tuskegee University,0.102622652,0.151353193,0.113208536,0.105991455,0.11307019
St Vincents Health System,0.110802572,0.157422541,0.138189277,0.11238051,0.123400007
Cullman Electric Cooperative,0.1361619,0.193674688,0.169149484,0.14092756,0.152039572
Cullman Regional Medical Center Inc,0.157880449,0.189010534,0.17812369,0.150597016,0.165228764
"Southern Poverty Law Center, Inc.",0.07733806,0.10674402,0.099867095,0.078095865,0.086120193
"United Way of Central Alabama, Inc.",0.030190258,0.049020451,0.054025867,0.044794298,0.039735232
Central Alabama Electric Cooperative,0.191674942,0.253572654,0.219213212,0.190053815,0.206310751
Compass Bank Health Care Trust,0.224180558,0.240860917,0.236535527,0.17689687,0.221139165
Credit Unions in the State of Alabama,0.091112466,0.13289301,0.12657942,0.104765057,0.106262481
HudsonAlpha Institute for Biotechnology,0.215416769,0.262317101,0.212973402,0.204533646,0.221012409
Civil Air Patrol,0.116668592,0.164299037,0.139107045,0.109428884,0.127140124
Infirmary Health System Inc,0.055092594,0.096378922,0.08561699,0.06872555,0.069333207
Sand Mountain Electric Cooperative,0.080900235,0.127462527,0.111664991,0.084924372,0.094458766
Birmingham Southern BirminghamSouthern College,0.099389639,0.133334178,0.0933125,0.105877665,0.105115543
University of South Alabama Health Services Foundation,0.142995297,0.171740652,0.132778949,0.128273494,0.143629831
Auburn University Foundation,0.176469868,0.209920822,0.182491707,0.167993406,0.181635923
Max Credit Union,0.186606519,0.215328934,0.199950133,0.181393299,0.192748654
Eternal Word Television Network Inc,0.163190434,0.191120255,0.182813554,0.193290999,0.176132685
Tallapoosa River Electric Cooperative Inc,0.169694748,0.214301387,0.209844937,0.173484871,0.184452573
Southern Research Institute,0.055687035,0.092891358,0.078190649,0.061128807,0.06654532
Tennessee Valley Authority Cherokee Electric Cooperative,0.104391325,0.151222804,0.1415216,0.105395035,0.118552236
Dixie Electric Cooperative,0.137770585,0.184145557,0.176178599,0.144009416,0.152940888
Corporate America Credit Union,0.117805766,0.159414322,0.139953853,0.109814325,0.127099966
Oakwood University Inc,0.116360465,0.150494745,0.118020942,0.131464104,0.124843531
Russell Hospital Corporation,0.072637141,0.110594658,0.103017691,0.079050884,0.085095776
Regions Foundation,0.190924236,0.233992374,0.224411028,0.196348022,0.204587355
Covington Electric Cooperative Inc,0.16992097,0.219225617,0.192457236,0.164483047,0.180988135
Faulkner University,0.075634478,0.090469628,0.091298551,0.100848106,0.084919953
Tigers Unlimited Foundation,0.320160063,0.344839003,0.312391677,0.305744019,0.320575814
Retail Wholesale & Department Store International Union & Industry,0.184546884,0.218939653,0.189508996,0.153093384,0.185863781
Southern Pine Electric Cooperative,0.118729555,0.165765816,0.15280087,0.122577036,0.132888731
Alabama Forest Resources Center Inc,0.117183946,0.178777528,0.147955562,0.126210423,0.134082558
Credit Unions in the State of Alabama,0.092009096,0.132222188,0.116942643,0.089638935,0.102471842
Wire Grass Electric Cooperative Inc,0.116977243,0.159851157,0.144512659,0.124017548,0.129885516
North Alabama Electric Cooperative,0.092678287,0.128020033,0.122349532,0.099274246,0.104613112
International Fertilizer Development Center,0.175438204,0.240443062,0.20217311,0.180031088,0.191493645
Avadian Credit Union,0.149447111,0.179901643,0.170814124,0.143214669,0.157045295
Methodist Home for the Aging,0.272655148,0.266893394,0.258809944,0.227020903,0.261781614
South Alabama Electric Cooperative,0.075412026,0.120660731,0.109348221,0.081523732,0.089628127
Feeding the Gulf Coast,0.074910849,0.095229076,0.095209376,0.076666244,0.081972874
Black Warrior Electric Membership Corporation,0.092681944,0.125372531,0.124437527,0.097477033,0.104222154
Walker Area Community Foundation,0.105749919,0.142199002,0.127365011,0.12095187,0.11796094
Credit Unions of Alabama,0.149447111,0.179901643,0.170814124,0.143214669,0.157045295
Huntsville Rehabilitation Fdn,0.082270003,0.120152031,0.108404437,0.098398761,0.09562754
University of Mobile Inc,0.11972222,0.161592466,0.108553098,0.121181501,0.125082287
Coosa Valley Electric Cooperative Inc,0.112616979,0.169672127,0.140226428,0.110845699,0.126432532
COMMUNITY ACTION PARTNERSHIP OF NORTH ALABAMA INC,0.106961948,0.153986027,0.127332315,0.096909025,0.116518868
Alabama Childrens Hospital Foundation,0.222498797,0.229335878,0.218388127,0.206411237,0.220271939
Uab Health System Managing Board,0.148138689,0.196047803,0.165103308,0.124968993,0.155089362
Guardian Credit Union,0.091112466,0.13289301,0.12657942,0.104765057,0.106262481
Pea River Electric Cooperative,0.137478403,0.178823764,0.16245766,0.128044163,0.146960133
Community Foundation of Greater Birmingham,0.052542187,0.087829298,0.076986783,0.059589711,0.063672059
Clarke Washington ClarkeWashington Electric Membership Corporation,0.066152898,0.113864802,0.107618128,0.081526812,0.083578073
Quality of Life Health Services Inc,0.21023832,0.245985291,0.221363181,0.20553013,0.217265594
Alabama Providence Healthcare Services,0.07122642,0.098384506,0.093772086,0.084480012,0.081719311
Arab Electric Cooperative Inc,0.338479714,0.35249749,0.385353479,0.368621518,0.353651938
Spring Hill College,0.056011629,0.082099491,0.068948259,0.079921068,0.066500617
"Montgomery Area Food Bank, Inc.",0.11340552,0.137584875,0.128550743,0.121117515,0.121244949
Equal Justice Initiative,0.132987412,0.170321788,0.165623854,0.1367255,0.14527223
East Alabama Medical Center Voluntary Employee Benef Assoc Tru,0.118287169,0.158417133,0.14401708,0.103221307,0.126752838
Huntingdon College,0.08926582,0.107795981,0.084851421,0.097869798,0.093052444
Miles College,0.124304861,0.162665807,0.13093599,0.13964275,0.134359855
Credit Unions in the State of Alabama,0.149447111,0.179901643,0.170814124,0.143214669,0.157045295
Alabama One Credit Union,0.091112466,0.13289301,0.12657942,0.104765057,0.106262481
Community Senior Life Inc,0.127588337,0.160695224,0.143383426,0.110286062,0.132854954
Credit Unions in the State of Alabama,0.149447111,0.179901643,0.170814124,0.143214669,0.157045295
Automotive Aftermarket Association Southeast Health Fund,0.145588641,0.190269839,0.166512365,0.122424729,0.152662143
Russellville Hospital Inc,0.172507652,0.197777346,0.188819529,0.168335208,0.178742506
Pioneer Electric Cooperative Inc,0.13215471,0.18260211,0.176883095,0.152589132,0.151423078
Talladega College,0.091240602,0.118317293,0.083727521,0.107581242,0.097224643
Alabama Power Foundation Inc,0.190924236,0.233992374,0.224411028,0.196348022,0.204587355
Five Star Credit Union,0.108891344,0.142770427,0.13173618,0.111492023,0.118778777
Health Services Inc,0.132744541,0.18443129,0.157970634,0.119826735,0.14341038
YMCA of Greater Birmingham,0.071613973,0.087600564,0.088394304,0.097721436,0.081426371
Franklin Primary Health Center Inc,0.192027242,0.23443206,0.215716943,0.164890099,0.198520138
Jefferson County Committee for Economic Opportunity,0.107290212,0.13986542,0.121807837,0.093609888,0.112858963
Escambia County Alabama Community Hospitals Inc,0.167940307,0.211934007,0.182223978,0.156766313,0.17579087
The Arc of Central Alabama Inc,0.169096027,0.197038669,0.177473726,0.16545414,0.174542436
Northwest Medical Center Inc,0.190197269,0.233544128,0.206498801,0.182978006,0.198935457
Electric Cooperatives Voluntary Employees Beneficiary Association,0.159981908,0.189798762,0.181596676,0.130317828,0.163609832
Corporation for the Promotion of Rifle Practice and Firearms Safety,0.247645023,0.274442335,0.238953562,0.239257085,0.249264675
Holle Family Foundation,0.190924236,0.233992374,0.224411028,0.196348022,0.204587355
Capstone Health Services Foundation P C,0.109735397,0.149563336,0.11190483,0.094493684,0.114194673
St Vincents Blount,0.056975631,0.084165312,0.084343418,0.080106428,0.069923675
GLENWOOD INC,0.09174922,0.125911984,0.105393679,0.095220788,0.100295685
Huntsville Emergency Medical Services Inc,0.215954745,0.25970973,0.238024775,0.182920703,0.221419907
Easter Seals Alabama Inc,0.063988448,0.085457895,0.076924617,0.060414354,0.069127035
Learning Tree Inc,0.19071993,0.193025943,0.181390928,0.192162489,0.189789859
Goodwill Industries Easter IndustriesEaster Seals of the Gulf Coast Inc,0.155416117,0.188718126,0.17856033,0.148779229,0.163717673
Northwest Alabama Mental Health Center,0.240486317,0.262211047,0.237867154,0.213245225,0.239130396
Alabama State Employees Credit Union,0.109761988,0.141790472,0.136955068,0.109254664,0.119547695
EPISCOPAL FOUNDATION OF JEFFERSON COUNTY ST MARTINS IN THE PINES,0.086272772,0.108200652,0.101490694,0.080014052,0.091420619
Community Food Bank of Central Alabama,0.097360573,0.115222635,0.112947733,0.096872635,0.102854121
Randolph School,0.386444548,0.367194652,0.317429959,0.390386397,0.372390775
Cahaba Medical Care Foundation,0.084177141,0.116489796,0.091695085,0.083781334,0.090749607
Community Hospital Inc,0.071873842,0.112431191,0.093927338,0.067848763,0.081638136
Huntsville Madison HuntsvilleMadison County Mental Health Board Inc,0.119192713,0.161624961,0.143449388,0.115064376,0.129619478
Stillman College,0.166321544,0.203023884,0.153457747,0.165150253,0.170099419
Sterling CO,0.130914694,0.179725239,0.157402405,0.11823804,0.141351628
Whatley Health Services Inc,0.389437747,0.436843766,0.412129902,0.366255754,0.397257111
Southeast Alabama Rural Health Associates,0.071952044,0.117696951,0.100635421,0.074902902,0.084848568
Dynetics Inc Employee Health and Welfare Plan,0.193528679,0.224596662,0.219948119,0.160141476,0.197545382
Birmingham Zoo Inc.,0.223917146,0.240974353,0.240919127,0.256899414,0.235090722
South Alabama Regional Planning Commission,0.154726036,0.206178268,0.177374393,0.132086989,0.16330296
Mobile Community Action Inc,0.03955493,0.071994667,0.063187954,0.046380385,0.050037966
Country Club of Birmingham,0.129929364,0.14843387,0.143365351,0.130043477,0.135271799
Young Mens Christian Association,0.045248102,0.069493877,0.067958551,0.064577958,0.056295782
Food Bank of North Alabama,0.25638581,0.271487737,0.274864079,0.256356147,0.261977566
Alabama Insurance Guaranty Association,0.250038747,0.240229935,0.254776145,0.246166265,0.248548098
